name,number,status
Standard daemon process library,3143,Deferred
Multiple Interpreters in the Stdlib,734,Deferred
"Overloading, Generic Functions, Interfaces, and Adaptation",3124,Deferred
Disallow using macros as l-values,674,Deferred
Running extension modules using the -m option,547,Deferred
Threaded garbage collection,556,Deferred
Rich comparison chaining,535,Deferred
Improved Errors for Missing Standard Library Modules,534,Deferred
Generator-sensitivity for Context Variables,568,Deferred
Deterministic cleanup for iterators,533,Deferred
A circuit breaking protocol and binary operators,532,Deferred
None-aware operators,505,Deferred
,499,Deferred
Add __getdescriptor__ method to metaclass,447,Deferred
Naming conventions and recipes related to packaging,423,Deferred
Protecting cleanup statements from interruptions,419,Deferred
Python Web3 Interface,444,Deferred
General purpose decorator clause (aka “@in” clause),403,Deferred
New release cycle and introducing long-term support versions,407,Deferred
The Wheel Binary Package Format 1.9,491,Deferred
Standard image protocol and class,368,Deferred
Logging Usage in the Standard Library,337,Deferred
Programming by Contract for Python,316,Deferred
Deprecate codecs.StreamReader and codecs.StreamWriter,400,Deferred
Copyable Iterators,323,Deferred
Enhanced Argument Tuples,286,Deferred
Simple Implicit Lambda,312,Deferred
Optimizing access to globals,280,Deferred
Pgen Module for Python,269,Deferred
Optimized Access to Module Namespaces,267,Deferred
Python Online Help,233,Deferred
Web Library Enhancements,222,Deferred
Attribute Access Handlers,213,Deferred
Python Governance Voting Process,8001,Final
Stackless Python,219,Deferred
Miscellaneous Python 3.0 Plans,3100,Final
Python Language Moratorium,3003,Final
Things that will Not Change in Python 3000,3099,Final
Procedure for Backwards-Incompatible Changes,3002,Final
Using GitHub Issues for CPython,581,Final
Python 3000,3000,Final
Python Documentation Translations,545,Final
Package Index Name Retention,541,Final
Python 3.7 Release Schedule,537,Final
Python 3.6 Release Schedule,494,Final
Migrating from hg.python.org to GitHub,512,Final
Python 3.5 Release Schedule,478,Final
Removal of the PyPI Mirror Auto Discovery and Naming Scheme,449,Final
Removing External Hosting Support on PyPI,470,Final
Transitioning to release-file hosting on PyPI,438,Superseded
Python 3.4 Release Schedule,429,Final
Removal of the PyPI Mirror Authenticity API,464,Final
Python 3.3 Release Schedule,398,Final
Python 2.8 Un-release Schedule,404,Final
Python 3.2 Release Schedule,392,Final
Choosing a distributed VCS for the Python project,374,Final
Python 2.7 Release Schedule,373,Final
Migrating from Subversion to Mercurial,385,Final
Python 2.6 and 3.0 Release Schedule,361,Final
Python 3.1 Release Schedule,375,Final
Externally Maintained Packages,360,Final
Python 2.5 Release Schedule,356,Final
Python 2.4 Release Schedule,320,Final
Python 2.3 Release Schedule,283,Final
Python 2.2 Release Schedule,251,Final
Python 2.1 Release Schedule,226,Final
Migrating the Python CVS to Subversion,347,Final
Python 2.0 Release Schedule,200,Final
Python 1.6 Release Schedule,160,Final
Guidelines for Language Evolution,5,Superseded
Asynchronous IO Support Rebooted: the “asyncio” Module,3156,Final
Pickle protocol version 4,3154,Final
Bug Fix Releases,6,Superseded
Qualified name for classes and functions,3155,Final
Reworking the OS and IO exception hierarchy,3151,Final
ABI version tagged .so files,3149,Final
futures - execute computations asynchronously,3148,Final
PYC Repository Directories,3147,Final
IP Address Manipulation Library for the Python Standard Library,3144,Final
String representation in Python 3000,3138,Final
A Type Hierarchy for Numbers,3141,Final
Immutable Bytes and Mutable Buffer,3137,Final
Exception Chaining and Embedded Tracebacks,3134,Final
New Super,3135,Final
Extended Iterable Unpacking,3132,Final
Supporting Non-ASCII Identifiers,3131,Final
Class Decorators,3129,Final
Making PyObject_HEAD conform to standard C,3123,Final
Integer Literal Support and Syntax,3127,Final
Extension Module Initialization and Finalization,3121,Final
Introducing Abstract Base Classes,3119,Final
Using UTF-8 as the default source encoding,3120,Final
Revising the buffer protocol,3118,Final
New I/O,3116,Final
Metaclasses in Python 3000,3115,Final
Renaming iterator.next() to iterator.__next__(),3114,Final
Removal of Tuple Parameter Unpacking,3113,Final
Bytes literals in Python 3000,3112,Final
Simple input built-in in Python 3000,3111,Final
Catching Exceptions in Python 3000,3110,Final
Raising Exceptions in Python 3000,3109,Final
Standard Library Reorganization,3108,Final
Function Annotations,3107,Final
"Revamping dict.keys(), .values() and .items()",3106,Final
Make print a function,3105,Final
Access to Names in Outer Scopes,3104,Final
Keyword-Only Arguments,3102,Final
Advanced String Formatting,3101,Final
C API to format a type fully qualified name,737,Final
Adding iOS as a supported platform,730,Final
Using tarfile.data_filter for source distribution extraction,721,Final
Inline script metadata,723,Final
Disabling bdist_egg distribution uploads on PyPI,715,Final
Inlined comprehensions,709,Final
Filter for tarfile.extractall,706,Final
Additional Fields for the Simple API for Package Indexes,700,Final
Override Decorator for Static Typing,698,Final
Limited C API for Extending Opaque Types,697,Final
Using TypedDict for more precise **kwargs typing,692,Final
Type Parameter Syntax,695,Final
Unstable C API tier,689,Final
Making the buffer protocol accessible in Python,688,Final
A Per-Interpreter GIL,684,Final
Data Class Transforms,681,Final
"Immortal Objects, Using a Fixed Refcount",683,Final
tomllib: Support for Parsing TOML in the Standard Library,680,Final
Format Specifier for Signed Zero,682,Final
Arbitrary Literal String Type,675,Final
Enriching Exceptions with Notes,678,Final
Convert macros to functions in the Python C API,670,Final
Self Type,673,Final
Low Impact Monitoring for CPython,669,Final
Variadic Generics,646,Final
Editable installs for pyproject.toml based builds (wheel based),660,Final
Include Fine Grained Error Locations in Tracebacks,657,Final
Platform Tag for Linux Distributions Using Musl,656,Final
Maintaining the Stable ABI,652,Final
Exception Groups and except*,654,Final
User-Defined Type Guards,647,Final
Marking individual TypedDict items as required or potentially-missing,655,Final
Require OpenSSL 1.1.1 or newer,644,Final
Metadata for Package Source Distributions,643,Final
Structural Pattern Matching: Specification,634,Final
Deprecate distutils module,632,Final
Versioning PyPI’s Simple API,629,Final
Add ,628,Final
Precise line numbers for debugging and other tools.,626,Final
Recording installed projects,627,Final
Remove Py_UNICODE encoder APIs,624,Final
Remove wstr from Unicode,623,Final
Parameter Specification Variables,612,Final
Add Optional Length-Checking To zip,618,Final
Storing project metadata in pyproject.toml,621,Final
Support for the IANA Time Zone Database in the Standard Library,615,Final
Relaxing Grammar Restrictions On Decorators,614,Final
String methods to remove prefixes and suffixes,616,Final
Explicit Type Aliases,613,Final
Recording the Direct URL Origin of installed distributions,610,Final
Allow writing union types as ,604,Final
Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,600,Final
Add optional EncodingWarning,597,Final
Removing dead batteries from the standard library,594,Final
Adding “Yank” Support to the Simple API,592,Final
Adding a final qualifier to typing,591,Final
Flexible function and variable annotations,593,Final
TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,589,Final
Python Initialization Configuration,587,Final
Type Hinting Generics In Standard Collections,585,Final
Python Runtime Audit Hooks,578,Final
Add Union Operators To dict,584,Final
Pickle protocol 5 with out-of-band data,574,Final
Literal Types,586,Final
Assignment Expressions,572,Final
Module State Access from C Extension Methods,573,Final
Python Positional-Only Parameters,570,Final
Context Variables,567,Final
Metadata for Python Software Packages 2.1,566,Final
Show DeprecationWarning in __main__,565,Final
Add new time functions with nanosecond resolution,564,Final
Distributing and Packaging Type Information,561,Final
Module __getattr__ and __dir__,562,Final
Core support for typing module and generic types,560,Final
Data Classes,557,Final
Built-in breakpoint(),553,Final
Deterministic pycs,552,Final
Add a new UTF-8 Mode,540,Final
A New C-API for Thread-Local Storage in CPython,539,Final
Protocols: Structural subtyping (static duck typing),544,Final
Coercing the legacy C locale to a UTF-8 based locale,538,Final
Asynchronous Generators,525,Final
Asynchronous Comprehensions,530,Final
Change Windows console encoding to UTF-8,528,Final
Change Windows filesystem encoding to UTF-8,529,Final
Removing Un(der)used file types/extensions on PyPI,527,Final
Make os.urandom() blocking on Linux,524,Final
Syntax for Variable Annotations,526,Final
Adding a frame evaluation API to CPython,523,Final
Adding a file system path protocol,519,Final
Preserving Class Attribute Definition Order,520,Final
Specifying Minimum Build System Requirements for Python Projects,518,Final
A build-system independent format for source trees,517,Final
Underscores in Numeric Literals,515,Final
Adding A Secrets Module To The Standard Library,506,Final
Simple Repository API,503,Final
Dependency specification for Python Software Packages,508,Final
Local Time Disambiguation,495,Final
Literal String Interpolation,498,Final
HTTPS verification migration tools for Python 2.7,493,Final
Coroutines with async and await syntax,492,Final
Make the Python Launcher aware of virtual environments,486,Final
Multi-phase extension module initialization,489,Final
Simpler customisation of class creation,487,Final
Elimination of PYO files,488,Final
A Function for testing approximate equality,485,Final
Backport ensurepip (PEP 453) to Python 2.7,477,Final
Type Hints,484,Final
Change StopIteration handling inside generators,479,Final
A dedicated infix operator for matrix multiplication,465,Final
Enabling certificate verification by default for stdlib http clients,476,Final
Retry system calls failing with EINTR,475,Final
os.scandir() function – a better and faster directory iterator,471,Final
Preserving the order of **kwargs in a function.,468,Final
Network Security Enhancements for Python 2.7.x,466,Final
Adding % formatting to bytes and bytearray,461,Final
Secure and interchangeable hash algorithm,456,Final
Add a new tracemalloc module to trace Python memory allocations,454,Final
Explicit bootstrapping of pip in Python installations,453,Final
A ModuleSpec Type for the Import System,451,Final
Adding A Statistics Module To The Standard Library,450,Final
Additional Unpacking Generalizations,448,Final
Make newly created file descriptors non-inheritable,446,Final
Single-dispatch generic functions,443,Final
Add new APIs to customize Python memory allocators,445,Final
Safe object finalization,442,Final
Version Identification and Dependency Specification,440,Final
Improving Python ZIP Application Support,441,Final
The Argument Clinic DSL,436,Final
Adding an Enum type to the Python standard library,435,Final
The Wheel Binary Package Format 1.0,427,Final
The pathlib module – object-oriented filesystem paths,428,Final
Compatibility Tags for Built Distributions,425,Final
A method for exposing a length hint,424,Final
Adding sys.implementation,421,Final
Implicit Namespace Packages,420,Final
"Add monotonic time, performance counter, and process time functions",418,Final
Explicit Unicode Literal for Python 3.3,414,Final
Including mock in the Standard Library,417,Final
Implement context suppression with exception attributes,415,Final
Key-Sharing Dictionary,412,Final
Suppressing exception context,409,Final
Python Virtual Environments,405,Final
Python launcher for Windows,397,Final
Flexible String Representation,393,Final
Dictionary-Based Configuration For Logging,391,Final
Defining a Stable ABI,384,Final
argparse - New Command Line Parsing Module,389,Final
Non-decodable Bytes in System Character Interfaces,383,Final
Syntax for Delegating to a Subgenerator,380,Final
Format Specifier for Thousands Separator,378,Final
Database of Installed Python Distributions,376,Final
Adding an ordered dictionary to collections,372,Final
Per user site-packages directory,370,Final
Function Signature Object,362,Final
Addition of the multiprocessing package to the standard library,371,Final
Main module explicit relative imports,366,Final
The “bytes” Object,358,Final
Allowing Any Object to be Used for Slicing,357,Final
Using ssize_t as the index type,353,Final
Required Superclass for Exceptions,352,Final
The “with” Statement,343,Final
Executing modules as scripts,338,Final
Coroutines via Enhanced Generators,342,Final
Unifying try-except and try-finally,341,Final
Locale-Independent Float/String Conversions,331,Final
Imports: Multi-Line and Absolute/Relative,328,Final
Decimal Data Type,327,Final
subprocess - New process module,324,Final
Decorators for Functions and Methods,318,Final
Reverse Iteration,322,Final
Simplified Global Interpreter Lock Acquisition for Extensions,311,Final
Partial Function Application,309,Final
Conditional Expressions,308,Final
Extensions to the pickle protocol,307,Final
CSV File API,305,Final
Package Index and Metadata for Distutils,301,Final
New Import Hooks,302,Final
Adding a bool type,285,Final
Codec Error Handling Callbacks,293,Final
Generator Expressions,289,Final
Simpler String Substitutions,292,Final
A Logging System,282,Final
The enumerate() built-in function,279,Final
Universal Newline Support,278,Final
Import Modules from Zip Archives,273,Final
Dict Comprehensions,274,Final
Unicode file name support for Windows NT,277,Final
Support for “wide” Unicode characters,261,Final
Future statements in simulated shells,264,Final
Defining Python Source Code Encodings,263,Final
Simplify xrange(),260,Final
Simple Generators,255,Final
Using site-packages on Windows,250,Final
Subtyping Built-in Types,253,Final
Making Types Look More Like Classes,252,Final
Unifying Long Integers and Integers,237,Final
Back to the __future__,236,Final
Changing the Division Operator,238,Final
Import on Case-Insensitive Platforms,235,Final
Iterators,234,Final
Warning Framework,230,Final
Function Attributes,232,Final
Change the Meaning of ,223,Final
Statically Nested Scopes,227,Final
Using Distutils to Build Python,229,Final
Import As,221,Final
Adding a Built-In Set Object Type,218,Final
Display Hook for Interactive Use,217,Final
Extended Print Statement,214,Final
Reworking the Coercion Model,208,Final
Rich Comparisons,207,Final
Weak References,205,Final
Lockstep Iteration,201,Final
Augmented Assignments,203,Final
List Comprehensions,202,Final
Python Unicode Integration,100,Final
Calendar versioning for Python,2026,Draft
Implementing PEP 649,749,Draft
Preventing task-cancellation bugs by limiting yield in async generators,789,Draft
Tag Strings For Writing Domain-Specific Languages,750,Draft
A file format to list Python dependencies for installation reproducibility,751,Draft
TypeExpr: Type Hint for a Type Expression,747,Draft
Type checking Annotated metadata,746,Draft
JIT Compilation,744,Draft
Python Configuration C API,741,Draft
Add Py_COMPAT_API_VERSION to the Python C API,743,Draft
Shorthand syntax for keyword arguments at invocation,736,Draft
Dependency Groups in pyproject.toml,735,Draft
An Evaluation of Python’s Public C API,733,Draft
Static description file for build details of Python installations,739,Draft
Documentation in Annotated Metadata,727,Draft
TypedDict with Typed Extra Items,728,Draft
Cross-compiling Python packages,720,Draft
Specifying external dependencies in pyproject.toml,725,Draft
Subscriptable functions,718,Draft
Upload 2.0 API for Python Package Repositories,694,Draft
Recording the provenance of installed packages,710,Draft
PyBI: a standard format for distributing Python Binaries,711,Draft
Allow parentheses in assert statements,679,Draft
Syntax for late-bound function argument defaults,671,Draft
Specializing Adaptive Interpreter,659,Draft
Sentinel Values,661,Draft
Precise Semantics for Pattern Matching,653,Draft
Syntactic Macros,638,Draft
Improving License Clarity with Better Package Metadata,639,Draft
Adding a frozenmap type to collections,603,Draft
GitHub Issues Migration Plan,588,Draft
Surviving a Compromise of PyPI: End-to-end signing of packages,480,Draft
General purpose template literal strings,501,Draft
Adding Android as a supported platform,738,Accepted
Minor API improvements for binary sequences,467,Draft
Narrowing types with TypeIs,742,Accepted
Rename dist-info-metadata in the Simple API,714,Accepted
TypedDict: Read-only items,705,Accepted
Making the Global Interpreter Lock Optional in CPython,703,Accepted
Syntactic formalization of f-strings,701,Accepted
Remove private dict version field added in PEP 509,699,Accepted
Marking deprecations using the type system,702,Accepted
JSON-based Simple API for Python Package Indexes,691,Accepted
Type Defaults for Type Parameters,696,Accepted
Isolating modules in the standard library,687,Accepted
Make UTF-8 mode default,686,Accepted
Comparison of extra names for optional distribution dependencies,685,Accepted
Consistent views of namespaces,667,Accepted
Vectorcall: a fast calling protocol for CPython,590,Accepted
Filename of a Source Distribution,625,Accepted
Deferred Evaluation Of Annotations Using Descriptors,649,Accepted
Marking Python base environments as “externally managed”,668,Accepted
Serve Distribution Metadata in the Simple Repository API,658,Accepted
Postponed Evaluation of Annotations,563,Accepted
Secure PyPI downloads with signed repository metadata,458,Accepted
Index support for digital attestations,740,Provisional
2024 Term Steering Council election,8105,Final
2021 Term Steering Council election,8102,Final
2022 Term Steering Council election,8103,Final
2020 Term Steering Council election,8101,Final
2023 Term Steering Council election,8104,Final
Extending the Repository API to Mitigate Dependency Confusion Attacks,708,Provisional
January 2019 Steering Council election,8100,Final
The Steering Council Model,8016,Accepted
Open Source Governance Survey,8002,Final
Python Language Governance Proposal Overview,8000,Final
Python 3.14 Release Schedule,745,Active
Reserved,801,Active
Python Web Server Gateway Interface v1.0.1,3333,Final
Python 3.13 Release Schedule,719,Active
Python 3.12 Release Schedule,693,Active
Python 3.9 Release Schedule,596,Active
Python 3.11 Release Schedule,664,Active
Structural Pattern Matching: Motivation and Rationale,635,Final
Structural Pattern Matching: Tutorial,636,Final
Unicode-related Security Considerations for Python,672,Active
Python 3.10 Release Schedule,619,Active
Isolating Extension Modules,630,Final
Reducing CPython’s Feature Delivery Latency,607,Final
Refactoring C functions and methods,579,Final
Python 3.8 Release Schedule,569,Active
The Theory of Type Hints,483,Final
Literature Overview for Type Hints,482,Final
Python registration in the Windows registry,514,Active
API for Cryptographic Hash Functions v2.0,452,Final
IDLE Enhancement Exception for All Branches,434,Active
Notation For Positional-Only Parameters,457,Final
Migrating to Python 3 as the default online documentation,430,Final
Backward Compatibility for the Python 2 Standard Library,291,Final
The “python” Command on Unix-Like Systems,394,Active
Pure Python/C Accelerator Module Compatibility Requirements,399,Final
Code Migration and Modernization,290,Active
API for Block Encryption Algorithms v1.0,272,Final
reStructuredText Docstring Format,287,Active
Python Web Server Gateway Interface v1.0,333,Final
Docstring Conventions,257,Active
Python Database API Specification v1.0,248,Final
Python Database API Specification v2.0,249,Final
API for Cryptographic Hash Functions,247,Final
Procedure for Adding New Modules,2,Active
Deprecation of Standard Modules,4,Active
